Section,Category,Number,Expectation,Reference,Statement,Status,Score,Notes
1,Leadership and Oversight,1.1,Organisational structure,1.1.1,"The board, or highest senior management level, has overall responsibility for data protection and information governance.",,,
1,Leadership and Oversight,1.1,Organisational structure,1.1.2,"Decision-makers lead by example and promote a proactive, positive culture of data protection compliance.",,,
1,Leadership and Oversight,1.1,Organisational structure,1.1.3,"You have clear reporting lines and information flows between relevant groups; such as from a management board to an audit committee, or from an executive team to an information governance steering group.",,,
1,Leadership and Oversight,1.1,Organisational structure,1.1.4,Policies clearly set out the organisational structure for managing data protection and information governance.,,,
1,Leadership and Oversight,1.1,Organisational structure,1.1.5,Job descriptions clearly set out responsibilities and reporting lines to management.,,,
1,Leadership and Oversight,1.1,Organisational structure,1.1.6,"Job descriptions are up to date, fit for purpose and are reviewed regularly.",,,
1,Leadership and Oversight,1.1,Organisational structure,1.1.7,Data protection and information governance staff understand the organisational structure and their responsibilities.,,,
1,Leadership and Oversight,1.2,Data protection officer (DPO),1.2.1,"The DPO has specific responsibilities in line with Article 39 of the UK GDPR for data protection compliance, data protection policies, awareness raising, training, and audits.",,,
1,Leadership and Oversight,1.2,Data protection officer (DPO),1.2.2,The DPO has expert knowledge of data protection law and practices. ,,,
1,Leadership and Oversight,1.2,Data protection officer (DPO),1.2.3,"The DPO has the authority, support and resources to do their job effectively.",,,
1,Leadership and Oversight,1.2,Data protection officer (DPO),1.2.4,"If your organisation is not required to appoint a DPO, you record the decision.",,,
1,Leadership and Oversight,1.2,Data protection officer (DPO),1.2.5,"If your organisation is not required to appoint a DPO, you appropriately assign responsibility for data protection compliance and you have enough staff and resources to manage your obligations under data protection law. ",,,
1,Leadership and Oversight,1.3,Appropriate reporting,1.3.1,"Staff know who the DPO is, what their role is and how to contact them.",,,
1,Leadership and Oversight,1.3,Appropriate reporting,1.3.2,All data protection issues involve the DPO in a timely manner.,,,
1,Leadership and Oversight,1.3,Appropriate reporting,1.3.3,Your organisation follows the DPO’s advice and takes account of their knowledge about data protection obligations. ,,,
1,Leadership and Oversight,1.3,Appropriate reporting,1.3.4,"The DPO performs their tasks independently, without any conflicts of interest, and does not take any direct operational decisions about the manner and purposes of processing personal data within your organisation. ",,,
1,Leadership and Oversight,1.3,Appropriate reporting,1.3.5,The DPO directly advises senior decision-makers and raises concerns with the highest management level.,,,
1,Leadership and Oversight,1.3,Appropriate reporting,1.3.6,The DPO provides regular updates to senior management about data protection compliance.,,,
1,Leadership and Oversight,1.4,Operational roles,1.4.1,Data protection and information governance staff have clear responsibilities for making sure that your organisation is data protection compliant. ,,,
1,Leadership and Oversight,1.4,Operational roles,1.4.2,Your staff manage all records effectively and they keep information secure.,,,
1,Leadership and Oversight,1.4,Operational roles,1.4.3,A network of support or nominated data protection leads help implement and maintain data protection policies at a local level.,,,
1,Leadership and Oversight,1.4,Operational roles,1.4.4,"Data protection and information governance staff have the authority, support and resources to carry out their responsibilities effectively. ",,,
1,Leadership and Oversight,1.5,Oversight groups,1.5.1,"Key staff, eg the DPO, regularly attend the oversight group meetings.",,,
1,Leadership and Oversight,1.5,Oversight groups,1.5.2,"An appropriately senior staff member chairs the group, eg the DPO or senior information risk owner (SIRO).",,,
1,Leadership and Oversight,1.5,Oversight groups,1.5.3,Clear terms of reference set out the group's aims.,,,
1,Leadership and Oversight,1.5,Oversight groups,1.5.4,The group's meeting minutes record what takes place.,,,
1,Leadership and Oversight,1.5,Oversight groups,1.5.5,"The group covers a full range of data protection related topics including Key Performance Indicators (KPIs), issues and risks.",,,
1,Leadership and Oversight,1.5,Oversight groups,1.5.6,The group has a work or action plan that is monitored regularly.,,,
